,Mean_Calories,label,activity
0,304.0,3,Cycling
1,304.2225,3,Cycling
2,304.27250000000004,3,Cycling
3,304.50750000000005,3,Cycling
4,304.415,3,Cycling
5,304.5175,3,Cycling
6,304.24,3,Cycling
7,304.065,3,Cycling
8,304.41499999999996,3,Cycling
9,304.18,3,Cycling
10,304.2925,3,Cycling
11,304.125,3,Cycling
12,304.355,3,Cycling
13,304.195,3,Cycling
14,304.28,3,Cycling
15,303.7575,3,Cycling
16,303.82500000000005,3,Cycling
17,304.245,3,Cycling
18,304.5475,3,Cycling
19,303.80499999999995,3,Cycling
20,304.0,3,Cycling
21,303.93499999999995,3,Cycling
22,304.115,3,Cycling
23,303.55499999999995,3,Cycling
24,303.8925,3,Cycling
25,304.375,3,Cycling
26,303.78499999999997,3,Cycling
27,304.07,3,Cycling
28,303.57500000000005,3,Cycling
29,303.9925,3,Cycling
30,303.91,3,Cycling
31,303.73,3,Cycling
32,303.6275,3,Cycling
33,303.8725,3,Cycling
34,304.27,3,Cycling
35,303.805,3,Cycling
36,303.9325,3,Cycling
37,304.0125,3,Cycling
38,303.95000000000005,3,Cycling
39,304.235,3,Cycling
40,304.22,3,Cycling
41,304.505,3,Cycling
42,304.1075,3,Cycling
43,304.24,3,Cycling
44,304.22249999999997,3,Cycling
45,303.875,3,Cycling
46,304.055,3,Cycling
47,303.59749999999997,3,Cycling
48,304.0775,3,Cycling
49,304.225,3,Cycling
50,303.745,3,Cycling
51,304.28000000000003,3,Cycling
52,303.74,3,Cycling
53,303.8225,3,Cycling
54,303.71500000000003,3,Cycling
55,303.87,3,Cycling
56,304.3225,3,Cycling
57,304.03499999999997,3,Cycling
58,304.1975,3,Cycling
59,304.195,3,Cycling
60,303.7425,3,Cycling
61,303.575,3,Cycling
62,304.1175,3,Cycling
63,303.53999999999996,3,Cycling
64,304.15999999999997,3,Cycling
65,304.29,3,Cycling
66,303.6825,3,Cycling
67,304.53499999999997,3,Cycling
68,303.655,3,Cycling
69,304.0425,3,Cycling
70,304.21000000000004,3,Cycling
71,304.305,3,Cycling
72,303.82,3,Cycling
73,303.4525,3,Cycling
74,303.5875,3,Cycling
75,303.855,3,Cycling
76,303.79499999999996,3,Cycling
77,303.9475,3,Cycling
78,303.39,3,Cycling
79,304.15250000000003,3,Cycling
80,303.7425,3,Cycling
81,304.29499999999996,3,Cycling
82,304.095,3,Cycling
83,303.98,3,Cycling
84,304.1825,3,Cycling
85,304.065,3,Cycling
86,304.3725,3,Cycling
87,303.82750000000004,3,Cycling
88,303.75,3,Cycling
89,303.9975,3,Cycling
90,303.695,3,Cycling
91,303.9275,3,Cycling
92,304.3075,3,Cycling
93,304.1725,3,Cycling
94,304.21,3,Cycling
95,304.1075,3,Cycling
96,303.325,3,Cycling
97,303.7725,3,Cycling
98,304.60749999999996,3,Cycling
99,303.90250000000003,3,Cycling
100,304.445,3,Cycling
101,303.5125,3,Cycling
102,304.3325,3,Cycling
103,303.8625,3,Cycling
104,303.7075,3,Cycling
105,304.105,3,Cycling
106,303.8625,3,Cycling
107,303.8675,3,Cycling
108,304.315,3,Cycling
109,304.0475,3,Cycling
110,304.255,3,Cycling
111,304.0475,3,Cycling
112,304.095,3,Cycling
113,303.835,3,Cycling
114,303.9425,3,Cycling
115,303.6275,3,Cycling
116,304.2725,3,Cycling
117,304.225,3,Cycling
118,304.07500000000005,3,Cycling
119,303.7975,3,Cycling
120,303.59,3,Cycling
121,304.1325,3,Cycling
122,303.9225,3,Cycling
123,304.3825,3,Cycling
124,304.105,3,Cycling
125,303.275,3,Cycling
126,304.2,3,Cycling
127,303.6725,3,Cycling
128,303.9225,3,Cycling
