,Mean_Calories,label,activity
0,646.5,61,"Cycling, mountain bike, bmx"
1,64603.5,61,"Cycling, mountain bike, bmx"
2,64681.5,61,"Cycling, mountain bike, bmx"
3,64600.25,61,"Cycling, mountain bike, bmx"
4,64671.5,61,"Cycling, mountain bike, bmx"
5,51181.25,61,"Cycling, mountain bike, bmx"
6,64619.5,61,"Cycling, mountain bike, bmx"
7,46906.25,61,"Cycling, mountain bike, bmx"
8,31215.0,61,"Cycling, mountain bike, bmx"
9,53332.25,61,"Cycling, mountain bike, bmx"
10,304.0,59,"Cycling, <10 mph, leisure bicycling"
11,30374.5,59,"Cycling, <10 mph, leisure bicycling"
12,25075.5,59,"Cycling, <10 mph, leisure bicycling"
13,24073.5,59,"Cycling, <10 mph, leisure bicycling"
14,25122.0,59,"Cycling, <10 mph, leisure bicycling"
15,25064.75,59,"Cycling, <10 mph, leisure bicycling"
16,30408.5,59,"Cycling, <10 mph, leisure bicycling"
17,14677.5,59,"Cycling, <10 mph, leisure bicycling"
18,30369.5,59,"Cycling, <10 mph, leisure bicycling"
19,30414.0,59,"Cycling, <10 mph, leisure bicycling"
20,1216.75,60,"Cycling, >20 mph, racing"
21,121692.25,60,"Cycling, >20 mph, racing"
22,121704.75,60,"Cycling, >20 mph, racing"
23,121657.25,60,"Cycling, >20 mph, racing"
24,121671.5,60,"Cycling, >20 mph, racing"
25,96349.0,60,"Cycling, >20 mph, racing"
26,121650.25,60,"Cycling, >20 mph, racing"
27,121648.5,60,"Cycling, >20 mph, racing"
28,121678.5,60,"Cycling, >20 mph, racing"
29,92263.0,60,"Cycling, >20 mph, racing"
30,456.0,55,"Cycling, 10-11.9 mph, light"
31,34601.75,55,"Cycling, 10-11.9 mph, light"
32,45632.0,55,"Cycling, 10-11.9 mph, light"
33,45607.5,55,"Cycling, 10-11.9 mph, light"
34,45599.0,55,"Cycling, 10-11.9 mph, light"
35,45583.75,55,"Cycling, 10-11.9 mph, light"
36,45620.25,55,"Cycling, 10-11.9 mph, light"
37,37641.0,55,"Cycling, 10-11.9 mph, light"
38,34555.75,55,"Cycling, 10-11.9 mph, light"
39,37637.75,55,"Cycling, 10-11.9 mph, light"
40,608.5,56,"Cycling, 12-13.9 mph, moderate"
41,37588.25,56,"Cycling, 12-13.9 mph, moderate"
42,60859.0,56,"Cycling, 12-13.9 mph, moderate"
43,31437.25,56,"Cycling, 12-13.9 mph, moderate"
44,60847.25,56,"Cycling, 12-13.9 mph, moderate"
45,60870.0,56,"Cycling, 12-13.9 mph, moderate"
46,44073.25,56,"Cycling, 12-13.9 mph, moderate"
47,60875.25,56,"Cycling, 12-13.9 mph, moderate"
48,60824.0,56,"Cycling, 12-13.9 mph, moderate"
49,60879.75,56,"Cycling, 12-13.9 mph, moderate"
50,760.5,57,"Cycling, 14-15.9 mph, vigorous"
