"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, <10 mph, leisure bicycling",236.0,281.0,327.0,372.0,0.823235629850746
"Cycling, <10 mph, leisure bicycling",235.75,281.36,327.8,371.98,1.17800894495926
"Cycling, <10 mph, leisure bicycling",236.69,280.72,327.72,371.96,-0.09214746807448
"Cycling, <10 mph, leisure bicycling",235.52,281.66,327.93,372.92,0.26775995417242
"Cycling, <10 mph, leisure bicycling",236.84,280.99,327.12,372.71,1.34853827062627
"Cycling, <10 mph, leisure bicycling",236.57,281.21,327.35,372.94,0.02668937061551
"Cycling, <10 mph, leisure bicycling",236.3,281.91,327.03,371.72,1.01539638322369
"Cycling, <10 mph, leisure bicycling",236.45,280.34,327.27,372.2,0.62124297566468
"Cycling, <10 mph, leisure bicycling",236.95,281.7,326.65,372.36,1.74159181904435
"Cycling, <10 mph, leisure bicycling",235.92,280.91,326.98,372.91,-0.07639440420481
"Cycling, <10 mph, leisure bicycling",235.79,280.61,327.87,372.9,1.34632800718379
"Cycling, <10 mph, leisure bicycling",236.3,280.56,326.79,372.85,0.07653079748325
"Cycling, <10 mph, leisure bicycling",236.47,281.51,327.83,371.61,1.00269415194264
"Cycling, <10 mph, leisure bicycling",236.85,280.06,327.94,371.93,1.77341457548202
"Cycling, <10 mph, leisure bicycling",235.7,281.87,327.41,372.14,0.11931073964834
"Cycling, <10 mph, leisure bicycling",235.45,280.65,326.39,372.54,0.71157529709308
"Cycling, <10 mph, leisure bicycling",236.79,280.66,326.18,371.67,1.79161694181782
"Cycling, <10 mph, leisure bicycling",235.81,280.59,327.84,372.74,1.45253320975355
"Cycling, <10 mph, leisure bicycling",236.57,281.48,327.35,372.79,1.37409671004134
"Cycling, <10 mph, leisure bicycling",235.12,280.17,327.03,372.9,0.72060420800688
"Cycling, <10 mph, leisure bicycling",236.04,280.58,327.88,371.5,1.10437071511655
"Cycling, <10 mph, leisure bicycling",236.07,280.93,327.09,371.65,0.14737143386893
"Cycling, <10 mph, leisure bicycling",235.89,280.65,327.47,372.45,1.23510746428448
"Cycling, <10 mph, leisure bicycling",235.45,281.14,326.4,371.23,-0.01432276237323
"Cycling, <10 mph, leisure bicycling",236.05,281.02,327.34,371.16,1.20645937732358
"Cycling, <10 mph, leisure bicycling",236.4,281.04,327.22,372.84,1.06549719804907
"Cycling, <10 mph, leisure bicycling",236.45,280.13,326.08,372.48,1.79779135903771
"Cycling, <10 mph, leisure bicycling",235.12,281.41,327.89,371.86,0.53635815528967
"Cycling, <10 mph, leisure bicycling",236.8,280.05,326.32,371.13,1.42260352628972
"Cycling, <10 mph, leisure bicycling",236.03,281.54,326.74,371.66,1.61538989475997
"Cycling, <10 mph, leisure bicycling",235.36,280.34,327.26,372.68,1.35759457892039
"Cycling, <10 mph, leisure bicycling",235.36,281.55,326.34,371.67,1.80752641759689
"Cycling, <10 mph, leisure bicycling",235.16,280.85,326.58,371.92,1.42447816104476
"Cycling, <10 mph, leisure bicycling",236.05,280.61,326.53,372.3,0.21136018219088
"Cycling, <10 mph, leisure bicycling",236.1,281.87,327.81,371.3,1.18998162872161
"Cycling, <10 mph, leisure bicycling",236.6,281.13,326.21,371.28,1.66229004573043
"Cycling, <10 mph, leisure bicycling",236.87,280.1,327.57,371.19,1.53404681407429
"Cycling, <10 mph, leisure bicycling",236.2,281.33,326.77,371.75,0.80352663728948
"Cycling, <10 mph, leisure bicycling",235.38,280.76,327.29,372.37,1.6056277194658
"Cycling, <10 mph, leisure bicycling",235.14,281.36,327.69,372.75,0.67599337184127
"Cycling, <10 mph, leisure bicycling",236.08,281.8,327.54,371.46,0.3558945076107
"Cycling, <10 mph, leisure bicycling",235.77,281.76,327.64,372.85,0.63688977644177
"Cycling, <10 mph, leisure bicycling",236.0,281.18,327.62,371.63,0.58797261703544
"Cycling, <10 mph, leisure bicycling",236.78,281.05,327.25,371.88,1.37508181832389
"Cycling, <10 mph, leisure bicycling",235.58,281.94,327.05,372.32,1.80712234008296
"Cycling, <10 mph, leisure bicycling",236.21,280.03,327.65,371.61,1.74287602444336
"Cycling, <10 mph, leisure bicycling",236.03,281.54,326.9,371.75,0.01869690819535
"Cycling, <10 mph, leisure bicycling",235.8,280.05,326.16,372.38,0.57022365932455
"Cycling, <10 mph, leisure bicycling",235.43,281.34,327.71,371.83,-0.03874623329454
"Cycling, <10 mph, leisure bicycling",236.65,280.46,327.25,372.54,0.16485658570845
"Cycling, <10 mph, leisure bicycling",235.31,281.18,327.27,371.22,0.01619001422413
"Cycling, <10 mph, leisure bicycling",235.83,281.64,326.97,372.68,0.72282958367818
"Cycling, <10 mph, leisure bicycling",235.61,280.81,326.79,371.75,1.26578990271551
"Cycling, <10 mph, leisure bicycling",235.54,280.63,327.65,371.47,1.68577708418138
"Cycling, <10 mph, leisure bicycling",235.28,280.61,327.87,371.1,0.06418870546815
"Cycling, <10 mph, leisure bicycling",235.29,281.44,326.46,372.29,0.58363143596331
"Cycling, <10 mph, leisure bicycling",235.63,281.39,327.81,372.46,1.34063070112061
"Cycling, <10 mph, leisure bicycling",236.74,280.33,326.87,372.2,1.44396387238802
"Cycling, <10 mph, leisure bicycling",235.56,281.12,327.39,372.72,0.12011991239236
"Cycling, <10 mph, leisure bicycling",235.68,281.19,327.34,372.57,0.76340634654074
"Cycling, <10 mph, leisure bicycling",235.34,281.13,327.1,371.4,1.24571716227154
"Cycling, <10 mph, leisure bicycling",235.39,280.09,326.74,372.08,0.65823407026809
"Cycling, <10 mph, leisure bicycling",236.39,280.86,326.23,372.99,0.64217437784489
"Cycling, <10 mph, leisure bicycling",236.63,280.35,326.05,371.13,0.8968243611389
"Cycling, <10 mph, leisure bicycling",236.9,280.74,327.22,371.78,-0.16049603532507
"Cycling, <10 mph, leisure bicycling",236.3,281.99,327.45,371.42,1.03618568548001
"Cycling, <10 mph, leisure bicycling",235.39,281.12,326.53,371.69,0.23293104016703
"Cycling, <10 mph, leisure bicycling",236.27,281.74,327.82,372.31,0.54929546169891
"Cycling, <10 mph, leisure bicycling",235.1,280.68,327.44,371.4,0.00930312709241
"Cycling, <10 mph, leisure bicycling",236.4,281.04,327.1,371.63,0.63018622872753
"Cycling, <10 mph, leisure bicycling",236.99,280.23,327.65,371.97,0.76477153425907
"Cycling, <10 mph, leisure bicycling",236.83,281.77,327.06,371.56,0.94992799892491
"Cycling, <10 mph, leisure bicycling",236.53,280.78,326.14,371.83,1.37407591143043
